lon,lat,tile_ID,comm_ID,geometry
114.005611444,22.7652396651,1948,146.0,"POLYGON ((114.010438610387 22.7634776997394,114.010376282 22.760637377,114.000648973 22.760820628,114.000781797475 22.7668930414558,114.000819999843 22.7668939998583,114.001123999473 22.7668670004118,114.001431999287 22.7668559999045,114.001682000024 22.7668790000658,114.001828999609 22.7669230002963,114.00190399947 22.7669230002963,114.001953999977 22.7668410001121,114.001979999378 22.766728000297,114.002056999331 22.7663810004828,114.002206999953 22.7659799999771,114.002473999675 22.7655190003017,114.002668999675 22.7651339996344,114.002795999236 22.7648520001198,114.002904999766 22.7647540000971,114.003388999603 22.7643440000756,114.003744999832 22.7641019997076,114.003860999785 22.7640770003533,114.004057999877 22.7641619997765,114.004475999368 22.764378999891,114.004744000036 22.7644939997983,114.004971999758 22.7645660004206,114.005336999503 22.7646560000744,114.005708999571 22.7647259997052,114.006042999685 22.764802000512,114.006286999246 22.7648099999815,114.006538999175 22.7647230004662,114.006565386184 22.7647120188446,114.00687299929 22.7645840003514,114.007146999335 22.764520000098,114.007511999979 22.7644539997523,114.007958999908 22.7643840001215,114.008304999676 22.7642589997531,114.008678999836 22.7640530001459,114.008897 22.7638699998007,114.009098999419 22.7634969996868,114.009248 22.7633090000104,114.009366999188 22.7632429996647,114.009447999326 22.7631990003337,114.009723999463 22.7632269998263,114.010438610387 22.7634776997394))"
114.015339021,22.7650560783,1949,-1.0,"POLYGON ((114.02022862726 22.7661377060034,114.02010349 22.760453535,114.010376282 22.760637377,114.010438610387 22.7634776997394,114.01063899939 22.7635480002401,114.011005999228 22.7636430001244,114.011279999273 22.7635450001017,114.011606999963 22.7633510001486,114.011982999316 22.7631059996422,114.012373999361 22.7628870003349,114.01256899936 22.7627840000816,114.012647999406 22.7627609999202,114.012854999958 22.7628260002198,114.013119999588 22.7630099997118,114.013124999819 22.7630159999884,114.013449999518 22.7634740004248,114.013886999885 22.7640669998922,114.013978999631 22.7640580003764,114.014109999377 22.7639319999619,114.014263999284 22.7637689996397,114.014431999837 22.7636589999629,114.014710999213 22.76366,114.015010999558 22.7637499996628,114.015314000041 22.7637709997319,114.015537999579 22.7637739998702,114.015660999855 22.7638230003312,114.015856999901 22.7640750002611,114.016003999485 22.7641770004683,114.016685999459 22.7642740004448,114.017266999273 22.7643969998218,114.017675999248 22.7645220001902,114.017938999685 22.7646030003283,114.018174999777 22.7647639996589,114.018454000052 22.7650169996349,114.018681999775 22.7652310005104,114.019079999243 22.7654309998408,114.019467 22.7655099998867,114.019717999886 22.7655610004399,114.019950999839 22.7657199996783,114.020123999723 22.7659630000925,114.020170000045 22.7661010001611,114.020176999469 22.7661630003223,114.02022862726 22.7661377060034))"
114.025066498,22.7648719002,1950,75.0,"POLYGON ((114.028955548653 22.7693105028404,114.030029834 22.769290126,114.029830597 22.7602691020001,114.02010349 22.760453535,114.02022862726 22.7661377060034,114.020321407207 22.7660922497576,114.020326000045 22.7660899996538,114.020561999237 22.7661390001148,114.020843999651 22.766324999699,114.020943999766 22.7665090000903,114.021111999419 22.7671810005029,114.021229999465 22.767620000063,114.02119499965 22.7677729999241,114.02111699965 22.7679770003383,114.021088999258 22.7681029998536,114.021252999626 22.7683650002446,114.021469999741 22.768754000197,114.021784999878 22.7691070002878,114.022015999739 22.7693099997567,114.022209999692 22.7693519998949,114.022414999253 22.7693820003791,114.02254799999 22.7692970000566,114.022654999529 22.7691529997112,114.022529000013 22.7688930003118,114.022724000013 22.7687520001047,114.022887999482 22.7689260000349,114.02314799978 22.7687940002429,114.022937999989 22.7684840003364,114.023236999388 22.7683440001755,114.023489999364 22.7681219998305,114.023794999939 22.7678519999699,114.024015999339 22.7676460003627,114.024294999615 22.7675729996942,114.024687999751 22.7674690002942,114.02506500005 22.7673500002024,114.025366999587 22.7671790004106,114.025614999333 22.7670689998346,114.025649 22.7670459996732,114.025058999773 22.7661339998842,114.025285999449 22.7660149997925,114.026 22.766941000227,114.026608999306 22.7677159999934,114.027210000042 22.7684860004287,114.027236999488 22.7685519998749,114.02718199965 22.7686800003817,114.027112000019 22.7688290000583,114.027132999189 22.7690340005188,114.027300999741 22.7690199998732,114.02752999951 22.7689819999194,114.027748999717 22.7690920004955,114.02776899974 22.768955000473,114.027760999371 22.7687669998972,114.027841999509 22.7687229996668,114.028050999254 22.7688570004503,114.028255999715 22.7688520002197,114.028460999276 22.7687500000125,114.02879499939 22.7686059996672,114.028910999343 22.7685950000592,114.028985999205 22.7687809996435,114.02892999932 22.7689910003345,114.028923999943 22.7691820001492,114.028955548653 22.7693105028404))"
114.034793873,22.7646871307,1951,75.0,"POLYGON ((114.030403318475 22.7692830190154,114.030417999591 22.7692400001259,114.030476999614 22.7689170005192,114.030636999798 22.7685499997827,114.030759999175 22.7681920003606,114.030837000028 22.767985999854,114.031107999934 22.7676769999937,114.031345999219 22.7675120004785,114.031396999772 22.7674840000866,114.031822999632 22.7672469999491,114.032300000045 22.7670869997653,114.032712999306 22.7669650004344,114.032754999444 22.7669529998811,114.033045999373 22.7669370000426,114.033431999187 22.7670869997653,114.033652999486 22.7671269998112,114.033948999647 22.7670679997884,114.034077428231 22.7670230858468,114.03413199999 22.7670040004343,114.034367000037 22.7669129998352,114.034630999621 22.7668969999966,114.034871999943 22.7669729999041,114.035330999526 22.7673140003409,114.035830999201 22.7678030004082,114.036345999568 22.7685980001976,114.036684986881 22.7691634860111,114.039757478 22.76910502,114.039557604 22.760084077,114.029830597 22.7602691020001,114.030029834 22.769290126,114.030403318475 22.7692830190154))"
114.044521148,22.7645017698,1952,136.0,"POLYGON ((114.044006184178 22.7690239129834,114.044143999446 22.7685260004746,114.044270999907 22.7683410000372,114.044522999837 22.7681710002915,114.044925999535 22.7680209996694,114.045528999464 22.7678319999469,114.045763999509 22.7677220002702,114.04587199999 22.7674260001099,114.045870999947 22.7666759996977,114.045971000062 22.7664669999521,114.046117999646 22.7662840005063,114.046371999668 22.7661590001378,114.04663899939 22.7661640003683,114.046931999412 22.7661050003455,114.047119999988 22.765998999954,114.047226999526 22.7658409998623,114.047201999273 22.7656120000938,114.047024000058 22.7649029997736,114.046992999527 22.764672999959,114.046899999735 22.7641449998919,114.046810999228 22.763902000377,114.046811999274 22.7636220000553,114.04669099999 22.7633760004022,114.046477000014 22.7633069999182,114.046162999923 22.7633290000333,114.04578699967 22.7631340000342,114.045590999625 22.7629379999888,114.045419999833 22.7626880001511,114.045229000018 22.7625160003132,114.044731999582 22.7623950001292,114.044484999883 22.7621490004761,114.044353999238 22.7617750003161,114.044237591891 22.7615685537458,114.044172999884 22.7614539999023,114.043987999447 22.7612189998571,114.043748999217 22.7611480001802,114.043606999863 22.7609500000425,114.043533000048 22.7606539998823,114.043484999633 22.7603419998834,114.043421038812 22.7600103520777,114.039557604 22.760084077,114.039757478 22.76910502,114.044006184178 22.7690239129834))"
114.180692196,22.7618446552,1953,-1.0,"POLYGON ((114.183665901994 22.7662972515091,114.183443999441 22.7662509998838,114.182956999466 22.766234,114.182371999468 22.7663130000449,114.182336121074 22.7663237720912,114.183665901994 22.7662972515091))"
114.190417916,22.7616504294,1954,-1.0,"MULTIPOLYGON (((114.195343000445 22.7642257525259,114.195282999511 22.7644690004441,114.195206999603 22.7647869998202,114.19526499958 22.7650660000959,114.195363999649 22.7654160000484,114.195371652368 22.7654559802924,114.195343000445 22.7642257525259)),((114.195309254864 22.7627768183051,114.194946999305 22.7630570000805,114.194782999836 22.7632120000339,114.194777999605 22.7632669998722,114.194882999951 22.7633839998717,114.195100999212 22.7635969998017,114.195314000041 22.7639079997545,114.195339156265 22.7640606949223,114.195309254864 22.7627768183051)))"
114.200143529,22.7614556127,1955,108.0,"POLYGON ((114.205111666 22.765867767,114.204900963 22.7568482470001,114.198673348274 22.7569731612109,114.198449999868 22.7571290001033,114.198166999408 22.7573339996644,114.198059999869 22.7575509997789,114.198031999477 22.7576909999398,114.198092999592 22.7578059998471,114.198239999177 22.7579379996391,114.198364999545 22.7580029999385,114.198454000052 22.7579819998694,114.198590000029 22.7579340003539,114.198786999221 22.7579320002616,114.198907999405 22.7579880001462,114.199 22.758168000353,114.19902599945 22.7583650004445,114.199109999727 22.7584319999369,114.199149678715 22.7584373077356,114.199266999772 22.758453,114.19939999961 22.7584800003518,114.199537999679 22.758542000513,114.199615999679 22.7586340002589,114.199689999494 22.7586839998668,114.199797999978 22.7586839998668,114.199962999493 22.7587280000972,114.200178999561 22.7588630000275,114.200352999491 22.7590790000958,114.200437999814 22.7592370001874,114.200496999837 22.7592249996341,114.200603999375 22.7591679997035,114.200800999467 22.7591370000726,114.201044999927 22.7591460004876,114.201167999304 22.7591850004874,114.201166999258 22.7593730001639,114.201232999603 22.7595130003247,114.201396999972 22.7596270001859,114.201609999902 22.7598820002541,114.201614999233 22.7601970003913,114.201539999372 22.7604599999291,114.201426999556 22.7607000002049,114.201218999857 22.7609500000425,114.20096099965 22.761167000157,114.200717999236 22.7613929997872,114.200413999606 22.7615390002248,114.200333782778 22.7615685537458,114.199976999239 22.7617000004547,114.199650999494 22.7617960003852,114.199218999357 22.7618760004771,114.199149678715 22.7618572532097,114.198900999981 22.7617900001085,114.198574999337 22.7616269997863,114.198510846199 22.7615685537458,114.198248999592 22.7613300004792,114.197869000054 22.7612630000874,114.197607999709 22.7613329997182,114.197463999364 22.7614380000637,114.197320180682 22.7615685537458,114.197257999757 22.761624999694,114.196960999551 22.7618680001082,114.196682999321 22.7621169998996,114.19640499999 22.7624370002675,114.196228999968 22.7625669999672,114.196122999577 22.7625760003822,114.195849999578 22.7625750003361,114.195622999902 22.7626320002666,114.195330999926 22.7627599998742,114.195309254864 22.7627768183051,114.195339156265 22.7640606949223,114.195356999326 22.7641690000994,114.195343000445 22.7642257525259,114.195371652368 22.7654559802924,114.195470999187 22.7659749997465,114.195509323168 22.7660604432002,114.205111666 22.765867767))"
114.209869036,22.761260205,1956,147.0,"POLYGON ((114.214837438 22.7656720210001,114.214626098 22.7566525870001,114.204900963 22.7568482470001,114.205111666 22.765867767,114.214837438 22.7656720210001))"
114.219594435,22.7610642067,1957,147.0,"POLYGON ((114.224563102 22.765475684,114.224351126 22.7564563370001,114.214626098 22.7566525870001,114.214837438 22.7656720210001,114.224563102 22.765475684))"
